2021/05/14 19:24:43 [LRKE4LE234D] kívánt: 20.0, jelenlegi: 24.0, eltérés: 20,00%
2021/05/14 19:24:43 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 15.0, eltérés: 25,00%
2021/05/14 19:25:25 [KD34AF24DS] kívánt: 23.0, jelenlegi: 18.0, eltérés: 21,74%
2021/05/14 19:25:25 [TE34WS3224] kívánt: 22.0, jelenlegi: 17.0, eltérés: 22,73%
2021/05/14 19:25:45 [KD34AF24DS] kívánt: 23.0, jelenlegi: 17.0, eltérés: 26,09%
2021/05/14 19:25:45 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 16.0, eltérés: 20,00%
2021/05/14 19:25:45 [EEI23EE12D] kívánt: 20.0, jelenlegi: 16.0, eltérés: 20,00%
2021/05/15 17:08:52 [KD34AF24DS] kívánt: 23.0, jelenlegi: 17.0, eltérés: 26,09%
2021/05/15 17:08:52 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 17.0, eltérés: 20,93%
2021/05/15 22:14:01 [KD34AF24DS] kívánt: 23.0, jelenlegi: 16.0, eltérés: 30,43%
2021/05/15 22:14:01 [LRKE4LE234D] kívánt: 20.0, jelenlegi: 24.0, eltérés: 20,00%
2021/05/15 22:14:01 [TE34WS3224] kívánt: 20.0, jelenlegi: 24.0, eltérés: 20,00%
2021/05/15 22:14:01 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 15.0, eltérés: 25,00%
2021/05/15 22:14:21 [LRKE4LE234D] kívánt: 20.0, jelenlegi: 24.0, eltérés: 20,00%
2021/05/15 22:14:45 [LRKE4LE234D] kívánt: 20.0, jelenlegi: 24.0, eltérés: 20,00%
2021/05/15 22:14:45 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 15.0, eltérés: 25,00%
2021/05/15 22:15:08 [KD34AF24DS] kívánt: 23.0, jelenlegi: 16.0, eltérés: 30,43%
2021/05/15 22:15:57 [KD34AF24DS] kívánt: 23.0, jelenlegi: 15.0, eltérés: 34,78%
