2021/05/18 13:54:02 [KD34AF24DS] kívánt: 22.0, jelenlegi: 15.0, eltérés: 31,82%
2021/05/18 13:54:02 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 15.0, eltérés: 30,23%
2021/05/18 13:54:48 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 15.0, eltérés: 30,23%
2021/05/18 13:54:48 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 24.0, eltérés: 20,00%
2021/05/18 13:54:48 [EEI23EE12D] kívánt: 22.0, jelenlegi: 15.0, eltérés: 31,82%
2021/05/18 13:55:09 [KD34AF24DS] kívánt: 22.0, jelenlegi: 17.0, eltérés: 22,73%
2021/05/18 13:55:29 [TE34WS3224] kívánt: 21.0, jelenlegi: 16.0, eltérés: 23,81%
2021/05/18 14:07:10 [KD34AF24DS] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:07:10 [TE34WS3224] kívánt: 21.0, jelenlegi: 16.0, eltérés: 23,81%
2021/05/18 14:07:31 [EEI23EE12D] kívánt: 22.0, jelenlegi: 17.0, eltérés: 22,73%
2021/05/18 14:07:51 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 16.0, eltérés: 25,58%
2021/05/18 14:07:51 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 16.0, eltérés: 20,00%
2021/05/18 14:07:51 [EEI23EE12D] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:08:53 [KD34AF24DS] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:09:11 [TE34WS3224] kívánt: 21.0, jelenlegi: 16.0, eltérés: 23,81%
2021/05/18 14:09:11 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 16.0, eltérés: 20,00%
2021/05/18 14:09:11 [EEI23EE12D] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:09:32 [KD34AF24DS] kívánt: 22.0, jelenlegi: 17.0, eltérés: 22,73%
